Ligand,Binding Affinity,rmsd/ub, rmsd/lb
7mby_134694162_uff_E=2047.93,-7.3,0.0,0.0
7mby_134694162_uff_E=2047.93,-7.2,8.921,3.971
7mby_134694162_uff_E=2047.93,-7.0,9.463,4.976
7mby_134694162_uff_E=2047.93,-7.0,9.836,3.457
7mby_134694162_uff_E=2047.93,-6.9,9.821,4.792
7mby_134694162_uff_E=2047.93,-6.9,9.332,4.235
7mby_134694162_uff_E=2047.93,-6.9,8.464,4.386
7mby_134694162_uff_E=2047.93,-6.8,10.519,2.934
7mby_134694162_uff_E=2047.93,-6.8,10.96,5.299
